Name.1,Age,Hometown,Home country,Boarded,Destination,Lifeboat,Body,pclass
"Hansen, Mr. Claus Peter",41,"Racine, Wisconsin",US,Southampton,"Racine, Wisconsin, US",,,3
"Hansen, Mrs. Jennie Louise (née Howard)",45,"Racine, Wisconsin",US,Southampton,"Racine, Wisconsin, US",11,,3
"Hansen, Mr. Henrik Juul",26,"Holeby, Storstrøm",Denmark,Southampton,"Racine, Wisconsin, US",,,3
"Hansen, Mr. Henry Damsgaard",21,Copenhagen,Denmark,Southampton,"Racine, Wisconsin, US",,69,3
"Hargadon, Miss Catherine ""Kate""",17,"Ballysadare, Sligo",Ireland,Queenstown,New York City,,,3
"Harknett, Miss Alice Phoebe",21,"Thornton Heath, London",England,Southampton,"New London, Connecticut, US",,,3
"Hart, Mr. Henry John",27,"Ballysadare, Sligo",Ireland,Queenstown,"Boston, Massachusetts, US",,,3
"Healy, Miss Hanora (Nora)",29,"Athenry, Galway",Ireland,Queenstown,New York City,16,,3
"Hedman, Mr. Oskar Arvid",27,"St. Paul, Minnesota",US,Southampton,"St. Paul, Minnesota, US",15,,3
"Hegarty, Miss Hanora ""Nora""",18,"Whitechurch, Cork",Ireland,Queenstown,"Charlestown, US",,,3
"Heikkinen, Miss Laina",26,Jyväskylä,Finland,Southampton,New York City,14?,,3
"Heininen, Miss Wendla Maria",23,Turku,Finland,Southampton,New York City,,8,3
"Hellström, Miss Hilda Maria",22,Stora Tuna,Sweden,Southampton,"Evanston, Illinois, US",C,,3
"Hendeković, Mr. Ignjac",28,Vagovina,Croatia,Southampton,"Harrisburg, Pennsylvania, US",,306,3
"Henriksson, Miss Jenny Lovisa",28,Stockholm,Sweden,Southampton,"Iron Mountain, Michigan, US",,3,3
"Henry, Miss Bridget Delia",23,"Clonown, Roscommon",Ireland,Queenstown,"Boston, Massachusetts, US",,,3
"Hirvonen, Mrs. Helga Elisabeth (née Lindqvist)",22,Dalsbruk,Finland,Southampton,"Monessen, Pennsylvania, US",15,,3
"Hirvonen, Miss Hildur Elisabeth",2,Dalsbruk,Finland,Southampton,"Monessen, Pennsylvania, US",15,,3
"Holm, Mr. Johan Fredrik Alexander",43,"Karlshamn, Blekinge",Sweden,Southampton,New York City,,,3
"Holten, Mr. Johan Martin",28,Bergen,Norway,Southampton,New York City,,,3
"Honkanen, Miss Eliina",27,Saarijärvi,Finland,Southampton,New York City,?,,3
"Horgan, Mr. John",22,Unknown,Ireland,Queenstown,New York City,,,3
"Howard, Miss May Elizabeth",27,"North Walsham, Norfolk",England,Southampton,"Albion, Michigan, US",C,,3
"Humblen, Mr. Adolf Mathias Nicolai Olsen",42,"Borgund, Møre og Romsdal",Norway,Southampton,"Milwaukee, Wisconsin, US",,,3
"Husayn, Master Husayn Mahumud",11,"Fredericksburg, Virginia",US,Cherbourg,"Fredericksburg, Virginia, US",,,3
"Hyman, Mr. Solomon Abraham",34,Manchester,England,Southampton,"Springfield, Massachusetts, US",C,,3
"Ilmakangas, Miss Ida Livija",27,"New York City, New York",US,Southampton,New York City,,,3
"Ilmakangas, Miss Pieta Sofia",25,"Paavola, Northern Ostrobothnia",Finland,Southampton,New York City,,,3
"Ivanoff, Mr. Kanio",20,"Malka Ribnya, Troyan",Bulgaria,Southampton,"Chicago, Illinois, US",,,3
"Jabbour, Miss Hileni",16,Unknown,Syria,Cherbourg,New York City,,328,3
"Jabbour, Miss Tamini",19,Unknown,Syria,Cherbourg,New York City,,,3
"Jalševac, Mr. Ivan",29,Topolovac,Croatia,Cherbourg,"Galesburg, Illinois, US",15,,3
"Jansson, Mr. Carl Olof",21,Örebro,Sweden,Southampton,"Swedeburg, Nebraska, US",A,,3
"Jardim, Mr. José Neto",21,"Calheta, Madeira",Portugal,Southampton,New York City,,,3
"Jensen, Mr. Hans Peder",20,Eskilstrup,Denmark,Southampton,"Portland, Oregon, US",,,3
"Jensen, Mr. Niels Peder ""Rasmus""",48,"Portland, Oregon",US,Southampton,"Portland, Oregon, US",,,3
"Jensen, Mr. Svend Lauritz",17,Eskilstrup,Denmark,Southampton,"Portland, Oregon, US",,,3
"Jermyn, Miss Annie Jane",26,"Ballydehob, Cork",Ireland,Queenstown,"East Lynn, Massachusetts, US",D,,3
"Jirjis, Mrs. Shaniini (née Whabee Abi-Saab)",22,"Youngstown, Ohio",US,Cherbourg,"Youngstown, Ohio, US",C,,3
"Johannesen, Mr. Bernt Johannes",29,"Avaldsnes, Stavanger",Norway,Southampton,New York City,13,,3
"Johanson, Mr. Jakob Alfred",34,Munsala,Finland,Southampton,"Vancouver, British Columbia, Canada",,143,3
"Johansson, Mr. Erik",22,"Frostensmåla, Småland",Sweden,Southampton,"St. Paul, Minnesota, US",,156,3
"Johansson, Mr. Gustaf Joel",33,"Bäckebo, Småland",Sweden,Southampton,"Cheyenne, North Dakota, US",,285,3
"Johansson, Mr. Karl Johan",31,"Duluth, Minnesota",US,Southampton,"Duluth, Minnesota, US",,,3
"Johansson, Mr. Nils",29,"Chicago, Illinois",US,Southampton,"Chicago, Illinois, US",,,3
"Johansson Palmquist, Mr. Oskar Leander",26,"Kvarnaryd, Småland",Sweden,Southampton,"New Haven, Connecticut, US",15,,3
"Johnson, Mr. Alfred",49,Millwood,England,Southampton,New York City,,,3
"Johnson, Mrs. Elisabeth Vilhelmina (née Berg)",26,"St. Charles, Illinois",US,Southampton,"St. Charles, Illinois, US",15,,3
"Johnson, Master Harold Theodor",4,"St. Charles, Illinois",US,Southampton,"St. Charles, Illinois, US",15,,3
"Johnson, Miss Eleanor Ileen",1,"St. Charles, Illinois",US,Southampton,"St. Charles, Illinois, US",15,,3
"Johnson, Mr. Malkolm Joackim",33,"Minneapolis, Minnesota",US,Southampton,"Minneapolis, Minnesota, US",,37,3
"Johnson, Mr. William Cahoone Jr.",19,"Hawthorne, New Jersey",US,Southampton,New York City,,,3
"Johnston, Mr. Andrew Emslie",35,"Thornton Heath, London",England,Southampton,"New London, Connecticut, US",,,3
"Johnston, Mrs. Elizabeth (née Watson) ""Eliza""",34,"Thornton Heath, London",England,Southampton,"New London, Connecticut, US",,,3
"Johnston, Master William Andrew",8,"Thornton Heath, London",England,Southampton,"New London, Connecticut, US",,,3
"Johnston, Miss Catherine Nellie",7,"Thornton Heath, London",England,Southampton,"New London, Connecticut, US",,,3
"Jonkoff, Mr. Lalju",23,"Gumostnik, Lovec",Bulgaria,Southampton,"Chicago, Illinois, US",,,3
"Jonsson, Mr. Carl",32,"Kalfsnäs, Småland",Sweden,Southampton,"Huntley, Illinois, US",15,,3
"Jönsson, Mr. Nils Hilding",27,"Tågarp, Skåne",Sweden,Southampton,New York City,,,3
"Jussila, Mr. Eiriik",32,Elimäki,Finland,Southampton,"Monessen, Pennsylvania, US",15,,3
"Jussila, Miss Katriina",20,"Paavola, Northern Ostrobothnia",Finland,Southampton,New York City,,,3
"Jussila, Miss Mari Aina",21,"Paavola, Northern Ostrobothnia",Finland,Southampton,New York City,,,3
"Kallio, Mr. Nikolai Erlantti",17,Kauhajoki,Finland,Southampton,"Sudbury, Ontario, Canada",,,3
"Kalvik, Mr. Johannes Halvorsen",21,"Etnesjøen, Hordaland",Norway,Southampton,"Story City, Iowa, US",,,3
"Karajić, Mr. Milan",30,Vagovina,Croatia,Southampton,"Youngstown, Ohio, US",,,3
"Karlsson, Mr. Einar Gervasius",21,"Oskarshamn, Kalmar",Sweden,Southampton,"Brooklyn, New York, US",13,,3
"Karlsson, Mr. Julius Konrad Eugen",33,"Göteborg, Västergötland",Sweden,Southampton,New York City,,,3
"Karlsson, Mr. Nils August",22,Örebro,Sweden,Southampton,"Palmer, Massachusetts, US",,,3
"Karun, Mr. Franz",39,Milje,Slovenia,Southampton,"Galesburg, Illinois, US",15,,3
"Karun, Miss Manca (""Anna"")",4,Milje,Slovenia,Southampton,"Galesburg, Illinois, US",15,,3
"Katavolos, Mr. Vassilios G.",19,Agios Sostis,Greece,Cherbourg,"Milwaukee, Wisconsin, US",,58,3
"Keane, Mr. Andrew ""Andy""",23,"Athenry, Galway",Ireland,Queenstown,"Auburndale, Florida, US",,,3
"Keefe, Mr. Arthur",39,"Rahway, New Jersey",US,Southampton,"Rahway, New Jersey, US",A,332,3
"Kelly, Mr. James",19,Unknown,Ireland,Southampton,New York City,,70,3
"Kelly, Mr. James",44,"Leixlip, Kildare",Ireland,Queenstown,"New Haven, Connecticut, US",,,3
"Kelly, Miss Anna Katherine",20,"Cuilmullagh, Mayo",Ireland,Queenstown,"Chicago, Illinois, US",16,,3
"Kelly, Miss Mary",22,"Castlepollard, Westmeath",Ireland,Queenstown,New York City,D,,3
"Kennedy, Mr. John Joseph",24,"Watergate, Limerick",Ireland,Queenstown,New York City,15?,,3
"Khalil-Khoury, Mr. Butrus",25,Hardîne,Lebanon,Cherbourg,"Wilkes Barre, Pennsylvania, US",,,3
"Khalil-Khoury, Mrs. Zahie ""Maria""",20,Hardîne,Lebanon,Cherbourg,"Wilkes Barre, Pennsylvania, US",,,3
"Kiernan, Mr. John Joseph",24,"Jersey City, New Jersey",US,Queenstown,"Jersey City, New Jersey, US",,,3
"Kiernan, Mr. Philip",22,"Aughnacliffe, Longford",Ireland,Queenstown,"Jersey City, New Jersey, US",,,3
"Kilgannon, Mr. Thomas",22,"Currafarry, Galway",Ireland,Queenstown,New York City,,,3
"Kink, Mr. Anton",29,Zürich,Switzerland,Southampton,"Milwaukee, Wisconsin",2,,3
"Kink, Mrs. Luise (née Heilmann)",26,Zürich,Switzerland,Southampton,"Milwaukee, Wisconsin",2,,3
"Kink, Miss Luise Gretchen",4,Zürich,Switzerland,Southampton,"Milwaukee, Wisconsin",2,,3
"Kink, Miss Maria",22,Zürich,Switzerland,Southampton,"Milwaukee, Wisconsin, US",,,3
"Kink, Mr. Vincenz",26,Zürich,Switzerland,Southampton,"Milwaukee, Wisconsin, US",,,3
"Klasén, Mrs. Hulda Kristina Eugenia (née Lofqvist)",36,"Salmunds, Gotland",Sweden,Southampton,"Los Angeles, US",,,3
"Klasén, Mr. Klas Albin",18,"Grimshut, Småland",Sweden,Southampton,New York City,,,3
"Klasén, Miss Gertrud Emilia",1,"Grimshut, Småland",Sweden,Southampton,New York City,,,3
"Kraeff, Mr. Theodor",–,Vetren,Bulgaria,Cherbourg,"Madison, Wisconsin, US",,,3
"Krekorian, Mr. Neshan",25,Kiğı,Turkey,Cherbourg,"Brantford, Ontario, Canada",10,,3
"Kutscher, Mr. Simon",26,Edinburgh,Scotland,Southampton,New York City,,,3
"Lahoud Ishaq Mowad, Mr. Sarkis",30,Zgharta,Lebanon,Cherbourg,"Waterbury, Connecticut, US",,,3
"Laitinen, Miss Kristiina Sofia",37,Helsinki,Finland,Southampton,New York City,,,3
"Laleff, Mr. Kristo",23,"Knezhni Lak, Troyan",Bulgaria,Southampton,"Chicago, Illinois, US",,,3
"Lam, Mr. Ali",37,Hong Kong,China,Southampton,New York City,C,,3
"Lam, Mr. Len",23,Hong Kong,China,Southampton,New York City,,,3
"Landergren, Miss Aurora Adelia",22,"Karlshamn, Blekinge",Sweden,Southampton,New York City,13,,3
"Lane, Mr. Patrick",16,"Limerick, Limerick",Ireland,Queenstown,New York City,,,3
"Lang, Mr. Fang",26,Hong Kong,China,Southampton,New York City,14,,3
"Larsson, Mr. August Viktor",29,"Stamford, Connecticut",US,Southampton,"Stamford, Connecticut, US",,,3
"Larsson, Mr. Bengt Edvin",29,"Nyköping, Södermanland",Sweden,Southampton,"Hartford, Connecticut, US",,,3
"Larsson-Rondberg, Mr. Edvard A.",22,"Lysvik, Värmland",Sweden,Southampton,"Missoula, Montana, US",,,3
"Lee, Mr. Bing",32,Hong Kong,China,Southampton,New York City,C,,3
"Lee, Mr. Ling",28,Hong Kong,China,Southampton,New York City,,,3
"Lefebvre, Mrs. Frances Marie-Anselme (née Daumont)",40,"Liévin, Pas-de-Calais",France,Southampton,"Mystic, Iowa, US",,,3
"Lefebvre, Miss Mathilde Franck-Marie-Joseph",12,"Liévin, Pas-de-Calais",France,Southampton,"Mystic, Iowa, US",,,3
"Lefebvre, Miss Jeannie Franck-Marie-Joseph",8,"Liévin, Pas-de-Calais",France,Southampton,"Mystic, Iowa, US",,,3
"Lefebvre, Master Henri Franck-Marie-Joseph",5,"Liévin, Pas-de-Calais",France,Southampton,"Mystic, Iowa, US",,,3
"Lefebvre, Miss Ida Franck-Marie-Joseph",3,"Liévin, Pas-de-Calais",France,Southampton,"Mystic, Iowa, US",,,3
"Leinonen, Mr. Antti Gustaf",32,Välitaipale,Finland,Southampton,New York City,,,3
"Lennon, Mr. Denis",20,"Ballymahon, Longford",Ireland,Queenstown,New York City,,,3
"Lennon, Miss Mary",18,"Ballymahon, Longford",Ireland,Queenstown,New York City,,,3
"Leonard, Mr. Lionel",36,"New York City, New York",US,Southampton,New York City,,,3
"Lester, Mr. James",39,"West Bromwich, Staffordshire",England,Southampton,"Pontiac, Michigan, US",,,3
"Lievens, Mr. René Gustave Aimé",24,Haaltert,Belgium,Southampton,"Detroit, Michigan, US",,,3
"Lindahl, Miss Agda Thorilda Viktoria",25,Stockholm,Sweden,Southampton,"Saranac Lake, New York, US",,,3
"Lindblom, Miss Augusta Charlotta",45,Stockholm,Sweden,Southampton,"Stratford, Connecticut, US",,,3
"Lindell, Mr. Edvard Bengtsson",36,"Helsingborg, Skåne",Sweden,Southampton,"Hartford, Connecticut, US",A,,3
"Lindell, Mrs. Elin Gerda (née Persson)",30,"Helsingborg, Skåne",Sweden,Southampton,"Hartford, Connecticut, US",A,,3
"Lindqvist, Mr. Eino William",20,Dalsbruk,Finland,Southampton,"Monessen, Pennsylvania, US",15,,3
"Linehan, Mr. Michael",21,"Boherbue, Cork",Ireland,Queenstown,New York City,,,3
"Ling, Mr. Lee",24,Hong Kong,China,Southampton,New York City,,,3
"Linhart, Mr. Wenzel H.",27,Vienna,Austria,Southampton,New York City,,298,3
"Livshin, Mr. David (""Abraham Harmer"")",25,Manchester,England,Southampton,"Montreal, Quebec, Canada",,,3
"Lobb, Mr. William Arthur",30,"Scranton, Pennsylvania",US,Southampton,"Scranton, Pennsylvania, US",,,3
"Lobb, Mrs. Cordelia K. (née Stanlick)",26,"Scranton, Pennsylvania",US,Southampton,"Scranton, Pennsylvania, US",,55,3
"Lockyer, Mr. Edward Thomas",21,"Sandhurst, Kent",England,Southampton,"Ontario, New York, US",,153,3
"Lovell, Mr. John Hall (""Henry"")",20,"Northlew, Devon",England,Southampton,New York City,,,3
"Lulić, Mr. Nikola",29,Konjsko Brdo,Croatia,Southampton,"Chicago, Illinois, US",15,,3
"Lundahl, Mr. Johan Svensson",51,"Fyrnan, Småland",Sweden,Southampton,"Spokane, Washington, US",,,3
"Lundström, Mr. Thure Edvin",32,"Simrishamn, Skåne",Sweden,Southampton,"Los Angeles, US",15,,3
"Lymperopoulus, Mr. Panagiotis K.",30,Áyios Sóstis,Greece,Cherbourg,"Stamford, Connecticut US",,196,3
"Lyntakoff, Mr. Stanko",44,Unknown,Bulgaria,Southampton,"Coon Rapids, Iowa, US",,,3
"Mackay, Mr. George William",20,London,England,Southampton,"Rochester, New York, US",,,3
"Madigan, Miss Margaret ""Maggie""",21,"Askeaton, Limerick",Ireland,Queenstown,New York City,15,,3
"Madsen, Mr. Fridtjof Arne",24,Trondheim,Norway,Southampton,"Brooklyn, New York, US",13,,3
"Mäenpää, Mr. Matti Alexanteri",22,Kauhajoki,Finland,Southampton,"Sudbury, Ontario, Canada",,,3
"Mahon, Miss Bridget Delia",20,"Derrymartin, Mayo",Ireland,Queenstown,New York City,,,3
"Maisner, Mr. Simon",34,London,England,Southampton,New York City,,,3
"Mäkinen, Mr. Kalle Edvard",29,"Ikaalinen, Pirkanmaa",Finland,Southampton,"Glassport, Pennsylvania, US",,,3
"Mamee, Mr. Hanna",20,Tripoli,Lebanon,Cherbourg,"Philadelphia, Pennsylvania, US",15,,3
"Mangan, Miss Mary",32,"Carrowkehine, Mayo",Ireland,Queenstown,"Chicago, Illinois, US",,61,3
"Mannion, Miss Margaret",28,"Caltra, Galway",Ireland,Queenstown,New York City,16,,3
"Mardirosian, Mr. Sarkis",25,Kiğı,Turkey,Cherbourg,"Brantford, Ontario, Canada",,,3
"Marinko, Mr. Dmitri",23,Unknown,Macedonia,Southampton,New York City,,,3
"Markoff, Mr. Marin",35,"Gumostnik, Lovec",Bulgaria,Southampton,"Chicago, Illinois, US",,,3
"Markun, Mr. Johann",33,Milje,Slovenia,Cherbourg,New York City,,,3
"Matinoff, Mr. Nicola",30,Gabrovo,Bulgaria,Cherbourg,"Madison, Wisconsin, US",,,3
"McCarthy, Miss Catherine ""Katie""",24,Tipperary,Ireland,Queenstown,"Bayonne, New Jersey, US",?,,3
"McCormack, Mr. Thomas Joseph",19,"Bayonne, New Jersey",US,Queenstown,"Guttenberg, New Jersey, US",15,,3
"McCoy, Miss Catherine Agnes",29,"Carrickatane, Tyrone",Ireland,Queenstown,"Brooklyn, New York, US",16,,3
"McCoy, Miss Alice",26,"Carrickatane, Tyrone",Ireland,Queenstown,"Brooklyn, New York, US",16,,3
"McCoy, Mr. Bernard",24,"Carrickatane, Tyrone",Ireland,Queenstown,"Brooklyn, New York, US",16,,3
"McDermott, Miss Bridget Delia",31,"Lahardane, Mayo",Ireland,Queenstown,"Chicago, Illinois, US",13,,3
"McEvoy, Mr. Michael",19,Dublin,Ireland,Queenstown,New York City,,,3
"McGovern, Miss Mary",22,"Corlough, Cavan",Ireland,Queenstown,New York City,13,,3
"McGowan, Miss Anna F. ""Annie""",17,"Massbrook, Mayo",Ireland,Queenstown,"Chicago, Illinois, US",13,,3
"McGowan, Miss Catherine",42,"Terry, Mayo",Ireland,Queenstown,"Chicago, Illinois, US",,,3
"McMahon, Mr. Martin",20,"Craghbrien, Clare",Ireland,Queenstown,New York City,,,3
"McNamee, Mr. Neal",27,"Convoy, Donegal, Ireland",England,Southampton,"Philadelphia, Pennsylvania, US",,,3
"McNamee, Mrs. Eileen (née O'Leary)",19,"Salisbury, Wiltshire",England,Southampton,"Philadelphia, Pennsylvania, US",,53,3
"McNeill, Miss Bridget",27,"Trien, Roscommon",Ireland,Queenstown,New York City,,,3
"Meanwell, Mrs. Mary Ann",63,"Eastbourne, East Sussex",England,Southampton,New York City,,,3
"Meehan, Mr. John",22,"Currowhunane, Sligo",Ireland,Queenstown,"Paterson, New Jersey, US",,,3
"Meek, Mrs. Anna ""Annie"" Louise Rowley",31,"Penarth, Glamorgan",Wales,Southampton,New York City,,,3
"Miesnere, Mr. Simon",34,"London, England",England,Southampton,New York City,,,3
"Meo-Martino, Mr. Alfonzo",48,"Bournemouth, Dorset",England,Southampton,"Washington, DC, US",,201,3
"Mernagh, Mr. John Robert",26,"Ballywilliam, Wexford",Ireland,Queenstown,"Chicago, Illinois, US",,,3
"Midtsjø, Mr. Karl Albert",21,"Kråkstad, Ski",Norway,Southampton,"Chicago, Illinois, US",15,,3
"Mihoff, Mr. Stoytcho",28,"Gumostnik, Lovec",Bulgaria,Southampton,"Chicago, Illinois, US",,,3
"Miles, Mr. Frank",23,"Greenwich, London",England,Southampton,New York City,,,3
"Mineff, Mr. Ivan",24,Unknown,Bulgaria,Southampton,"Coon Rapids, Iowa, US",,,3
"Minkoff, Mr. Lazar",21,"Gumostnik, Lovec",Bulgaria,Southampton,"Chicago, Illinois, US",,,3
"Mitkoff, Mr. Mito",23,Unknown,Bulgaria,Southampton,"Chicago, Illinois, US",,,3
"Mockler, Miss Ellen Mary",23,"Currafarry, Galway",Ireland,Queenstown,New York City,16,,3
"Moen, Mr. Sigurd Hansen",25,Bergen,Norway,Southampton,"Minneapolis, Minnesota, US",,309,3
"Moor, Mrs. Beila",29,Unknown,Russia,Southampton,"Chicago, Illinois, US",14,,3
"Moor, Master Meier",7,Unknown,Russia,Southampton,"Chicago, Illinois, US",14,,3
"Moore, Mr. Leonard Charles",19,"Kingston upon Thames, London",England,Southampton,"Hoboken, New Jersey, US",,,3
"Moran, Miss Bertha Bridget",28,"Askeaton, Limerick",Ireland,Queenstown,"Brooklyn, New York, US",16,,3
"Moran, Mr. Daniel James",27,"Askeaton, Limerick",Ireland,Queenstown,"Brooklyn, New York, US",,,3
"Morley, Mr. William",34,"Petworth, West Sussex",England,Southampton,New York City,,,3
"Morrow, Mr. Thomas Rowan",30,"Rathfriland, Down",Ireland,Queenstown,"Gleichen, Alberta, Canada",,,3
"Moss, Mr. Albert Johan",29,Bergen,Norway,Southampton,New York City,B,,3
"Moussa, Mrs. Mantoura",35,Hardîne,Lebanon,Cherbourg,"Wilkes-Barre, Pennsylvania, US",?,,3
"Moutal, Mr. Rahamin Haim",28,London,England,Southampton,New York City,,,3
"Mubarik, Mrs. Amanah Fa'ud (née Iskandar)",24,Hardîne,Lebanon,Cherbourg,"Houtzdale, Pennsylvania, US",C,,3
"Mubarik, Master Gerios",7,Hardîne,Lebanon,Cherbourg,"Houtzdale, Pennsylvania, US",C,,3
"Mubarik, Master Halim Gonios",4,Hardîne,Lebanon,Cherbourg,"Houtzdale, Pennsylvania, US",C,,3
"Mullen, Miss Katherine ""Katie""",19,"Esker, Longford",Ireland,Queenstown,New York City,16,,3
"Mulvihill, Miss Bridget Elizabeth ""Bertha""",25,"Athlone, Westmeath",Ireland,Queenstown,"Providence, Rhode Island, US",15,,3
"Murdlin, Mr. Joseph",22,London,England,Southampton,New York City,,,3
"Murphy, Miss Catherine ""Kate""",18,"Aghnacliffe, Longford",Ireland,Queenstown,"Philadelphia, Pennsylvania, US",16,,3
"Murphy, Miss Margaret Jane ""Maggie/Mary""",25,"Fostragh, Longford",Ireland,Queenstown,"Philadelphia, Pennsylvania, US",16,,3
"Murphy, Miss Nora",34,Dublin,Ireland,Queenstown,New York City,16,,3
"Muslamani, Mrs. Fatimah",22,Tebnine,Lebanon,Cherbourg,"Michigan City, Indiana, US",C,,3
"Myhrman, Mr. Pehr Fabian Oliver Malkolm",18,"Kristinehamn, Värmland",Sweden,Southampton,"Chicago, Illinois, US",,,3
"Nackid, Mr. Sahid",20,Zgharta,Lebanon,Cherbourg,"Waterbury, Connecticut, US",C,,3
"Nackid, Miss Waika ""Mary"" (née Mowad)",19,Zgharta,Lebanon,Cherbourg,"Waterbury, Connecticut, US",C,,3
"Nackid, Miss Maria",1,Zgharta,Lebanon,Cherbourg,"Waterbury, Connecticut, US",C,,3
"Naidenoff, Mr. Penko",22,"Gumostnik, Lovech",Bulgaria,Southampton,"Chicago, Illinois, US",,,3
"Nakli-Khoury, Mr. Toufik",17,Hardîne,Lebanon,Cherbourg,New York City,,,3
"Nancarrow, Mr. William Henry",33,"St Austell, Cornwall",England,Southampton,"Yonkers, New York, US",,,3
"Nankoff, Mr. Minko",32,Unknown,Bulgaria,Southampton,"Chicago, Illinois, US",,,3
"Nasr Alma, Mr. Mustafa",20,Tebnine,Lebanon,Cherbourg,New York City,,,3
"Nassr Rizq, Mr. Saade",20,Sir'Al,Lebanon,Cherbourg,New York City,,,3
"Naughton, Miss Hannah",21,Donoughmore,Ireland,Queenstown,New York City,,,3
"Nenkoff, Mr. Christo",22,Unknown,Bulgaria,Southampton,"Coon Rapids, Iowa, US",,,3
"Nieminen, Miss Manta Josefiina",29,Karinainen,Finland,Southampton,"Aberdeen, Washington, US",,,3
"Niklasson, Mr. Samuel",28,"Västra Bogane, Orust Island",Sweden,Southampton,New York City,,,3
"Nilsson, Mr. August Ferdinand",21,"Hörby, Skåne",Sweden,Southampton,"St. Paul, Minnesota, US",,,3
"Nilsson, Miss Berta Olivia",18,"Lysvik, Värmland",Sweden,Southampton,"Missoula, Montana, US",D,,3
"Nilsson, Miss Helmina Josefina",26,"Ramkvilla, Småland",Sweden,Southampton,"Joliet, Illinois, US",13,,3
"Niqula-Yarid, Miss Jamilah",14,El-Hakour,Lebanon,Cherbourg,"Jacksonville, Florida, US",C,,3
"Niqula-Yarid, Master Ilyas",12,El-Hakour,Lebanon,Cherbourg,"Jacksonville, Florida, US",C,,3
"Nirva, Mr. Iisakki Antino Äijö",41,Kauhajoki,Finland,Southampton,"Sudbury, Ontario, Canada",,,3
"Niskanen, Mr. Juha",39,Kivijärvi,Finland,Southampton,"Boston, Massachusetts, US",9,,3
"Nofal, Mr. Mansur",20,Kafr Mishki,Lebanon,Cherbourg,"Ottawa, Ontario, Canada",,181,3
"Nosworthy, Mr. Richard Cater",21,"Newton Abbot, Devon",England,Southampton,"Buffalo, New York, US",,,3
"Nysten, Miss Anna Sofia",22,"Kisa, Östergötland",Sweden,Southampton,"Hackensack, New Jersey, US",13,,3
"Nysveen, Mr. Johan Hansen",61,Øyer,Norway,Southampton,"Grand Forks, North Dakota, US",,,3
"O'Brien, Mr. Thomas",27,"Pallasgreen, Limerick",Ireland,Queenstown,"Chicago, Illinois, US",,,3
"O'Brien, Mrs. Johanna ""Hannah"" (née Godfrey)",26,"Pallasgreen, Limerick",Ireland,Queenstown,"Chicago, Illinois, US",?,,3
"O'Brien, Mr. Timothy",21,"Drimoleague, Cork",Ireland,Queenstown,New York City,,,3
"O'Connell, Mr. Patrick Denis",17,"Kingwilliamstown, Cork",Ireland,Queenstown,New York City,,,3
"O'Connor, Mr. Maurice",16,"Boherbue, Cork",Ireland,Queenstown,New York City,,,3
"O'Connor, Mr. Patrick",23,"Kingwilliamstown, Cork",Ireland,Queenstown,New York City,,,3
"O'Driscoll, Miss Bridget",24,"Ballydehob, Cork",Ireland,Queenstown,"Jersey City, New Jersey, US",D,,3
"O'Dwyer, Miss Ellen ""Nellie""",25,"Limerick, Limerick",Ireland,Queenstown,New York City,?,,3
"O'Keefe, Mr. Patrick",22,"Waterford, Waterford",Ireland,Queenstown,New York City,B,,3
"O'Leary, Miss Hanora ""Nora""",16,"Kingwilliamstown, Cork",Ireland,Queenstown,New York City,13,,3
"O'Sullivan, Miss Bridget Mary",21,"Glenduff, Kerry",Ireland,Queenstown,New York City,,,3
"Ödahl, Mr. Nils Martin",23,"Örsjö, Kalmar",Sweden,Southampton,"Peoria, Illinois, US",,,3
"Öhman, Miss Velin",22,"Mariestad, Västergötland",Sweden,Southampton,"Chicago, Illinois, US",C,,3
"Olsen, Mr. Henry Margido",28,Bergen,Norway,Southampton,New York City,,173,3
"Olsen, Mr. Karl Siegwart Andreas",42,Trondheim,Norway,Southampton,"Brooklyn, New York, US",,,3
"Olsen, Master Arthur Carl",9,Trondheim,Norway,Southampton,"Brooklyn, New York, US",13,,3
"Olsen, Mr. Ole Martin",27,Sunnhordland,Norway,Southampton,"Broderick, Canada",,,3
"Olsson, Miss Elina",31,Södra Brantevik,Sweden,Southampton,"St. Paul, Minnesota, US",,,3
"Olsson, Mr. Nils Johan Göransson",28,"Eslöv, Skåne",Sweden,Southampton,New York City,,,3
"Olsson, Mr. Oskar Wilhelm",32,"Lunna, Orust Island",Sweden,Southampton,"Manitowoc, Wisconsin, US",A,,3
"Olsvingen, Mr. Thor Andersen",20,Vikersund,Norway,Southampton,"Carneron, US",,89,3
"Orešković, Miss Jelka",23,Konjsko Brdo,Croatia,Southampton,"Chicago, Illinois, US",,,3
"Orešković, Mr. Luka",20,Konjsko Brdo,Croatia,Southampton,"Chicago, Illinois, US",,,3
"Orešković, Miss Marija",20,Konjsko Brdo,Croatia,Southampton,"Chicago, Illinois, US",,,3
"Osén, Mr. Olaf Elon",16,"Hedesunda, Gävleborg",Sweden,Southampton,"Mitchell, South Dakota, US",,,3
"Pålsson, Mrs. Alma Cornelia (née Berglund)",29,"Bjuv, Skåne",Sweden,Southampton,"Chicago, Illinois, US",,206,3
"Pålsson, Miss Torborg Danira",8,"Bjuv, Skåne",Sweden,Southampton,"Chicago, Illinois, US",,,3
